h,irf_embig_to_tasaso
0,0.0
1,-0.20101021827634452
2,-0.1606503772320878
3,-0.131591341691967
4,-0.12222158784780257
5,-0.12380804072177634
6,-0.12781315331191717
7,-0.130425176745771
8,-0.13035910352254818
9,-0.1277576008025847
10,-0.12329353724156313
11,-0.11772083261101775
12,-0.11166151721899213
13,-0.10554701501461014
14,-0.09963294297947747
15,-0.09404250738851813
16,-0.0888126854737068
17,-0.08393203507472902
18,-0.07936708403002907
19,-0.0750783978962236
20,-0.07102892569046675
21,-0.06718732811403436
22,-0.06352847552340479
23,-0.060032630857139155
24,-0.056684233123179134
25,-0.053470752383864166
26,-0.05038180039347341
27,-0.047408520885678866
28,-0.044543210501931295
29,-0.041779100663769705
30,-0.039110236638229844
31,-0.03653140614087463
32,-0.03403808690877423
33,-0.031626396622190064
34,-0.02929303822905427
35,-0.027035239523310738
36,-0.024850688714102762
37,-0.022737468714746634
38,-0.020693992809438667
39,-0.01871894380306696
40,-0.01681121808048476
41,-0.01496987538114087
42,-0.013194094606583516
43,-0.011483135632011105
44,-0.009836306868633089
45,-0.008252938191509698
46,-0.006732358779431104
47,-0.0052738793866640606
48,-0.003876778564945017
49,-0.0025402923674386468
50,-0.0012636070881429616
