h,irf_lpbi_to_tasaso
0,0.0
1,-0.00014395249243351685
2,-0.0015052982497413018
3,-0.0015319486176726318
4,-0.0017938339113457878
5,-0.001933154690274024
6,-0.0020085172750813757
7,-0.0019927621003768417
8,-0.0019080242693009074
9,-0.0017753517772540646
10,-0.0016168228764046385
11,-0.0014490786171109877
12,-0.001283248131631584
13,-0.0011255253778223468
14,-0.000978556447780058
15,-0.0008427502988924236
16,-0.0007173351684869192
17,-0.0006010773244472193
18,-0.0004927077736230877
19,-0.00039113195703804286
20,-0.00029550013199558176
21,-0.00020520033101426808
22,-0.00011981675126829152
23,-3.907940665057955e-05
24,3.718171118025169e-05
25,0.00010907286495676159
26,0.00017666267212615785
27,0.00023999965355149706
28,0.0002991234244996378
29,0.00035407156782349923
30,0.00040488377464798983
31,0.0004516043445583059
32,0.0004942837256025658
33,0.0005329794794361872
34,0.0005677568700008838
35,0.0005986891696100902
36,0.0006258577265191058
37,0.0006493518200820191
38,0.0006692683272534273
39,0.000685711227484594
40,0.0006987909766880468
41,0.0007086237826919211
42,0.0007153308140405755
43,0.0007190373715316419
44,0.000719872048195634
45,0.0007179658991783716
46,0.0007134516386811257
47,0.0007064628770754667
48,0.0006971334077160319
49,0.000685596549892903
50,0.0006719845517953547
