h,irf_tasar_to_tasaso
0,0.0
1,0.10297652048619692
2,0.16799546228517448
3,0.22256183387120493
4,0.2669561022572636
5,0.30138628956643665
6,0.3267764413442652
7,0.3446163038832337
8,0.3563809162001272
9,0.3633509951972832
10,0.3665543202944086
11,0.3667893675799871
12,0.36467075058294074
13,0.3606762376224327
14,0.3551850967412633
15,0.34850599948440386
16,0.34089573576716337
17,0.3325711297148345
18,0.32371646764681977
19,0.31448825595762075
20,0.3050185475331627
21,0.2954175841444603
22,0.28577614723598893
23,0.27616778448626206
24,0.26665095489337237
25,0.25727107808907934
26,0.24806245645113317
27,0.23905004156577905
28,0.23025102723940027
29,0.22167626276483765
30,0.21333148948049613
31,0.20521840999489432
32,0.19733560305933
33,0.1896792986339172
34,0.18224402791315217
35,0.17502316252765418
36,0.1680093562153524
37,0.16119490119983365
38,0.1545720104535254
39,0.14813303601376202
40,0.14187063257523638
41,0.1357778746993785
42,0.12984833515109967
43,0.1240761310884676
44,0.11845594408687365
45,0.1129830192749754
46,0.10765314819624926
47,0.1024626393895674
48,0.09740828010715935
49,0.09248729206047598
50,0.08769728360483746
